PID,trial_no,outcome,delay,choice,rt,age,gender
2,9,1,40,1,3.545643599,17,female
2,10,0,40,1,2.267965439,17,female
2,22,1,40,1,3.920384669,17,female
2,23,0,40,1,4.038412264,17,female
2,26,0,40,1,2.158408967,17,female
2,28,1,40,1,1.638547623,17,female
2,30,0,40,1,1.470101724,17,female
2,38,1,40,1,1.72975392,17,female
2,45,0,40,1,1.314085996,17,female
2,61,1,40,1,1.799838861,17,female
2,2,0,80,0,1.992302876,17,female
2,5,0,80,1,1.466341008,17,female
2,16,0,80,1,2.107714149,17,female
2,19,0,80,1,1.882298728,17,female
2,27,1,80,1,3.492407928,17,female
2,37,0,80,1,1.740335729,17,female
2,39,1,80,1,1.792146567,17,female
2,40,1,80,1,1.571981902,17,female
2,54,1,80,1,1.298270336,17,female
2,65,1,80,1,2.870500376,17,female
3,1,1,1,0,7.994501709,17,female
3,3,1,1,0,2.392929139,17,female
3,18,1,1,1,1.155699669,17,female
3,19,0,1,1,0.922107149,17,female
3,22,0,1,1,1.67566365,17,female
3,45,1,1,1,1.002442745,17,female
3,46,0,1,0,1.574248958,17,female
3,52,1,1,1,1.245742553,17,female
3,67,0,1,1,1.188112837,17,female
3,69,0,1,1,0.778623924,17,female
3,4,0,2,1,1.558339718,17,female
3,7,0,2,1,1.74767755,17,female
3,13,0,2,1,1.888002292,17,female
3,27,1,2,1,1.054304297,17,female
3,38,0,2,1,1.636651567,17,female
3,43,1,2,1,1.162502951,17,female
3,48,0,2,1,0.986109375,17,female
3,55,1,2,1,1.678180354,17,female
3,63,1,2,1,0.797883035,17,female
3,68,1,2,1,1.501444456,17,female
3,6,1,5,1,1.488152443,17,female
3,14,1,5,1,1.440248127,17,female
3,25,0,5,1,1.172613539,17,female
3,26,0,5,1,1.04992263,17,female
3,37,0,5,1,1.67465721,17,female
3,39,1,5,1,1.252210154,17,female
3,40,1,5,1,1.008390523,17,female
3,44,1,5,1,0.786274258,17,female
3,56,0,5,1,1.41054154,17,female
3,59,0,5,1,1.453936195,17,female
3,5,0,10,1,2.208342163,17,female
3,16,1,10,1,2.089640489,17,female
3,29,0,10,1,1.38236514,17,female
3,33,1,10,1,1.452441629,17,female
3,34,0,10,1,1.13593432,17,female
3,35,0,10,1,1.798945321,17,female
3,47,1,10,1,1.418503103,17,female
3,50,1,10,1,1.318054401,17,female
3,61,0,10,1,1.362600697,17,female
3,62,1,10,1,1.284713581,17,female
3,11,0,20,1,1.413887787,17,female
3,15,1,20,1,2.248476303,17,female
3,17,1,20,1,1.091860755,17,female
3,42,0,20,1,1.027860641,17,female
3,51,1,20,1,1.304318938,17,female
3,57,0,20,1,1.536235165,17,female
3,64,0,20,1,1.470361636,17,female
3,65,1,20,1,0.848091839,17,female
3,66,0,20,1,1.398813222,17,female
3,70,1,20,1,1.714792255,17,female
3,8,0,40,1,6.844518584,17,female
3,12,1,40,1,1.409804671,17,female
3,20,0,40,0,2.866448051,17,female
3,23,1,40,0,2.138406347,17,female
3,24,1,40,0,1.925848546,17,female
3,31,1,40,0,1.98160213,17,female
3,36,0,40,0,2.393698912,17,female
3,41,0,40,0,3.014726205,17,female
3,53,1,40,0,2.15866103,17,female
3,60,0,40,0,2.464667431,17,female
3,2,1,80,1,4.947387089,17,female
3,9,1,80,0,5.013895153,17,female
3,10,1,80,1,2.585611106,17,female
3,21,1,80,0,1.824443213,17,female
3,28,1,80,0,1.284473895,17,female
3,30,0,80,0,1.830099081,17,female
3,32,0,80,0,1.820150899,17,female
3,49,0,80,0,2.2724105,17,female
3,54,0,80,0,1.61038511,17,female
3,58,0,80,0,2.17420561,17,female
4,10,1,1,0,2.338246295,20,male
4,11,1,1,0,1.762965237,20,male
4,26,1,1,0,1.36979943,20,male
4,27,0,1,0,1.822267624,20,male
4,47,0,1,0,2.246064046,20,male
4,59,0,1,0,1.684566449,20,male
4,61,0,1,0,1.598577701,20,male
4,62,1,1,0,1.487837591,20,male
4,67,1,1,0,1.2207509,20,male
4,70,0,1,0,1.314776377,20,male
4,1,0,2,0,3.624044501,20,male
4,14,1,2,0,5.424570723,20,male
4,22,1,2,0,2.102339928,20,male
4,33,0,2,0,1.851306772,20,male
4,39,0,2,0,2.065784778,20,male
4,45,1,2,1,1.77995065,20,male
4,46,0,2,0,1.506078488,20,male
4,60,1,2,0,1.658734385,20,male
4,63,1,2,0,1.974380756,20,male
4,65,0,2,0,1.278830103,20,male
4,2,0,5,0,1.914189659,20,male
4,8,0,5,0,1.924373601,20,male
4,15,1,5,0,4.594124491,20,male
4,29,1,5,0,3.520880765,20,male
4,31,1,5,0,1.605800585,20,male
4,32,0,5,0,1.569698846,20,male
4,35,1,5,0,1.348333638,20,male
4,36,0,5,0,1.635621581,20,male
4,50,0,5,0,1.119899803,20,male
4,57,1,5,0,1.259843884,20,male
4,4,0,10,1,1.644634865,20,male
4,5,1,10,1,2.09207599,20,male
4,9,0,10,0,2.096123183,20,male
4,12,0,10,1,1.900123043,20,male
4,13,0,10,0,3.303649387,20,male
4,18,1,10,0,2.981852381,20,male
4,28,0,10,0,2.046219873,20,male
4,49,1,10,0,1.560566626,20,male
4,51,1,10,0,1.31233665,20,male
4,56,1,10,0,1.831961327,20,male
4,6,1,20,0,2.287768221,20,male
4,7,1,20,1,1.891913643,20,male
4,16,1,20,0,1.468144691,20,male
4,17,1,20,1,2.12404118,20,male
4,19,0,20,1,2.897903984,20,male
4,24,0,20,0,3.672463508,20,male
4,30,0,20,1,2.555857729,20,male
4,34,1,20,0,1.753665778,20,male
4,53,0,20,0,1.669877072,20,male
4,64,0,20,0,1.122192216,20,male
4,3,0,40,1,1.034561588,20,male
4,23,1,40,1,2.779815713,20,male
4,37,0,40,1,1.683671399,20,male
4,40,1,40,1,2.375692267,20,male
4,42,0,40,1,3.007797949,20,male
4,43,1,40,1,1.749136798,20,male
4,44,0,40,1,1.834531462,20,male
4,52,1,40,1,2.040959457,20,male
4,54,0,40,1,1.770127444,20,male
4,55,1,40,1,1.688484441,20,male
4,20,1,80,1,1.965823599,20,male
4,21,1,80,1,2.634445489,20,male
4,25,1,80,1,1.441899667,20,male
4,38,0,80,1,1.781772144,20,male
4,41,1,80,1,1.865867552,20,male
4,48,0,80,1,1.838716913,20,male
4,58,0,80,1,1.729801314,20,male
4,66,0,80,1,1.702150775,20,male
4,68,1,80,0,1.914586922,20,male
4,69,0,80,1,1.55419502,20,male
5,2,1,1,0,1.411524434,19,female
5,5,1,1,1,1.726352129,19,female
5,10,0,1,0,1.83411669,19,female
5,11,0,1,1,2.386736544,19,female
5,16,0,1,0,2.126179941,19,female
5,26,1,1,1,1.647470949,19,female
5,29,1,1,0,1.583783877,19,female
5,48,0,1,1,0.811645666,19,female
5,53,0,1,1,1.380543949,19,female
5,68,1,1,1,1.030425947,19,female
5,18,0,2,1,1.930046977,19,female
5,22,1,2,0,1.610566837,19,female
5,30,1,2,1,1.475823702,19,female
5,32,1,2,1,1.116540877,19,female
5,46,0,2,1,1.158188903,19,female
