PID,trial_no,trial_type,choice,delay,age,gender
3731,75,win,0,5,22,male
3731,91,win,1,5,22,male
3731,99,win,1,5,22,male
3731,102,win,0,5,22,male
3731,104,win,0,5,22,male
3731,111,win,0,5,22,male
3731,124,win,0,5,22,male
3731,125,win,0,5,22,male
3731,67,win,0,10,22,male
3731,69,win,0,10,22,male
3731,73,win,1,10,22,male
3731,81,win,0,10,22,male
3731,83,win,0,10,22,male
3731,86,win,0,10,22,male
3731,94,win,0,10,22,male
3731,107,win,0,10,22,male
3731,110,win,0,10,22,male
3731,121,win,0,10,22,male
3731,74,win,1,20,22,male
3731,77,win,0,20,22,male
3731,78,win,0,20,22,male
3731,88,win,0,20,22,male
3731,90,win,0,20,22,male
3731,92,win,0,20,22,male
3731,109,win,0,20,22,male
3731,112,win,0,20,22,male
3731,118,win,0,20,22,male
3731,126,win,0,20,22,male
3731,87,win,1,40,22,male
3731,89,win,0,40,22,male
3731,105,win,0,40,22,male
3731,106,win,0,40,22,male
3731,123,win,0,40,22,male
3731,82,win,0,80,22,male
3731,93,win,0,80,22,male
3731,95,win,0,80,22,male
3731,108,win,0,80,22,male
3731,113,win,0,80,22,male
4118,67,win,1,2,26,male
4118,68,win,1,80,26,male
4118,69,win,1,20,26,male
4118,70,win,1,40,26,male
4118,71,win,0,2,26,male
4118,72,win,1,2,26,male
4118,73,win,0,1,26,male
4118,74,win,0,5,26,male
4118,75,win,1,10,26,male
4118,76,win,1,1,26,male
4118,77,win,1,2,26,male
4118,78,win,1,80,26,male
4118,79,win,1,20,26,male
4118,80,win,1,10,26,male
4118,81,win,1,5,26,male
4118,82,win,1,5,26,male
4118,83,win,1,20,26,male
4118,84,win,1,80,26,male
4118,85,win,1,5,26,male
4118,86,win,1,80,26,male
4118,87,win,0,10,26,male
4118,88,win,1,20,26,male
4118,89,win,0,1,26,male
4118,90,win,0,1,26,male
4118,91,win,0,1,26,male
4118,92,win,1,10,26,male
4118,93,win,1,10,26,male
4118,94,win,0,1,26,male
4118,95,win,0,10,26,male
4118,96,win,1,2,26,male
4118,97,win,1,40,26,male
4118,98,win,1,20,26,male
4118,99,win,1,20,26,male
4118,100,win,0,5,26,male
4118,101,win,1,5,26,male
4118,102,win,1,10,26,male
4118,103,win,0,5,26,male
4118,104,win,0,1,26,male
4118,105,win,0,2,26,male
4118,106,win,1,40,26,male
4118,107,win,1,1,26,male
4118,108,win,1,10,26,male
4118,109,win,1,40,26,male
4118,110,win,1,20,26,male
4118,111,win,1,10,26,male
4118,112,win,1,40,26,male
4118,113,win,0,2,26,male
4118,114,win,0,5,26,male
4118,115,win,1,5,26,male
4118,116,win,1,2,26,male
4118,117,win,1,2,26,male
4118,118,win,1,20,26,male
4118,119,win,0,1,26,male
4118,120,win,1,1,26,male
4118,121,win,1,10,26,male
4118,122,win,1,80,26,male
4118,123,win,1,20,26,male
4118,124,win,1,2,26,male
4118,125,win,1,5,26,male
4118,126,win,1,20,26,male
7575,67,win,0,20,23,female
7575,68,win,0,2,23,female
7575,69,win,0,5,23,female
7575,70,win,0,40,23,female
7575,71,win,1,5,23,female
7575,72,win,0,10,23,female
7575,73,win,1,1,23,female
7575,74,win,0,20,23,female
7575,75,win,1,2,23,female
7575,76,win,0,10,23,female
7575,77,win,1,2,23,female
7575,78,win,0,80,23,female
7575,79,win,0,1,23,female
7575,80,win,1,1,23,female
7575,81,win,0,40,23,female
7575,82,win,1,2,23,female
7575,83,win,1,1,23,female
7575,84,win,0,20,23,female
7575,85,win,1,5,23,female
7575,86,win,1,1,23,female
7575,87,win,0,20,23,female
7575,88,win,0,40,23,female
7575,89,win,1,2,23,female
7575,90,win,1,5,23,female
7575,91,win,0,80,23,female
7575,92,win,1,5,23,female
7575,93,win,0,20,23,female
7575,94,win,0,80,23,female
7575,95,win,0,10,23,female
7575,96,win,1,5,23,female
7575,97,win,0,80,23,female
7575,98,win,1,10,23,female
7575,99,win,0,10,23,female
7575,100,win,0,80,23,female
7575,101,win,1,20,23,female
7575,102,win,0,10,23,female
7575,103,win,1,2,23,female
7575,104,win,0,10,23,female
7575,105,win,0,40,23,female
7575,106,win,0,10,23,female
7575,107,win,1,40,23,female
7575,108,win,1,1,23,female
7575,109,win,0,20,23,female
7575,110,win,1,5,23,female
7575,111,win,0,20,23,female
7575,112,win,1,10,23,female
7575,113,win,0,20,23,female
7575,114,win,1,2,23,female
7575,115,win,1,1,23,female
7575,116,win,0,1,23,female
7575,117,win,0,20,23,female
7575,118,win,0,2,23,female
7575,119,win,1,1,23,female
7575,120,win,1,1,23,female
7575,121,win,0,5,23,female
7575,122,win,1,5,23,female
7575,123,win,1,10,23,female
7575,124,win,0,5,23,female
7575,125,win,1,2,23,female
7575,126,win,1,2,23,female
7626,7,win,1,20,18,male
7626,8,win,1,80,18,male
7626,9,win,1,40,18,male
7626,10,win,1,80,18,male
7626,11,win,1,5,18,male
7626,12,win,1,2,18,male
7626,13,win,1,10,18,male
7626,14,win,1,1,18,male
7626,15,win,1,2,18,male
7626,16,win,1,2,18,male
7626,17,win,1,1,18,male
7626,18,win,1,20,18,male
7626,19,win,1,80,18,male
7626,20,win,1,2,18,male
7626,21,win,1,10,18,male
7626,22,win,1,10,18,male
7626,23,win,1,20,18,male
7626,24,win,1,2,18,male
7626,25,win,1,5,18,male
7626,26,win,1,5,18,male
7626,27,win,1,5,18,male
7626,28,win,1,2,18,male
7626,29,win,1,80,18,male
7626,30,win,1,5,18,male
7626,31,win,1,1,18,male
7626,32,win,1,1,18,male
7626,33,win,1,2,18,male
7626,34,win,1,20,18,male
7626,35,win,1,10,18,male
7626,36,win,1,40,18,male
7626,37,win,1,5,18,male
7626,38,win,1,5,18,male
7626,39,win,1,20,18,male
7626,40,win,1,1,18,male
7626,41,win,1,5,18,male
7626,42,win,1,40,18,male
7626,43,win,1,2,18,male
7626,44,win,1,10,18,male
7626,45,win,1,10,18,male
7626,46,win,1,20,18,male
7626,47,win,1,2,18,male
7626,48,win,1,2,18,male
7626,49,win,1,10,18,male
7626,50,win,1,5,18,male
7626,51,win,1,1,18,male
7626,52,win,1,1,18,male
7626,53,win,1,5,18,male
7626,54,win,1,40,18,male
7626,55,win,1,1,18,male
7626,56,win,1,1,18,male
7626,57,win,1,40,18,male
7626,58,win,1,20,18,male
7626,59,win,1,10,18,male
7626,60,win,1,80,18,male
7626,61,win,1,20,18,male
7626,62,win,1,10,18,male
7626,63,win,1,1,18,male
7626,64,win,0,10,18,male
7626,65,win,1,20,18,male
7626,66,win,1,20,18,male
16068,67,win,1,5,18,female
16068,68,win,0,20,18,female
16068,69,win,0,20,18,female
16068,70,win,0,20,18,female
16068,71,win,0,2,18,female
16068,72,win,0,40,18,female
16068,73,win,0,1,18,female
16068,74,win,1,40,18,female
16068,75,win,0,80,18,female
16068,76,win,0,1,18,female
16068,77,win,1,10,18,female
16068,78,win,0,1,18,female
16068,79,win,0,2,18,female
16068,80,win,1,10,18,female
16068,81,win,1,5,18,female
16068,82,win,0,1,18,female
16068,83,win,1,20,18,female
16068,84,win,1,1,18,female
16068,85,win,0,1,18,female
16068,86,win,1,10,18,female
16068,87,win,1,5,18,female
16068,88,win,1,5,18,female
16068,89,win,0,80,18,female
16068,90,win,1,40,18,female
16068,91,win,1,20,18,female
16068,92,win,0,2,18,female
16068,93,win,0,1,18,female
16068,94,win,0,2,18,female
16068,95,win,1,20,18,female
16068,96,win,1,20,18,female
16068,97,win,1,5,18,female
16068,98,win,1,40,18,female
16068,99,win,0,80,18,female
16068,100,win,1,40,18,female
16068,101,win,1,20,18,female
16068,102,win,0,5,18,female
16068,103,win,1,1,18,female
16068,104,win,0,1,18,female
16068,105,win,1,5,18,female
16068,106,win,1,2,18,female
16068,107,win,1,5,18,female
16068,108,win,1,2,18,female
16068,109,win,0,2,18,female
16068,110,win,1,10,18,female
16068,111,win,1,10,18,female
16068,112,win,1,10,18,female
16068,113,win,1,80,18,female
16068,114,win,1,80,18,female
16068,115,win,0,1,18,female
16068,116,win,1,2,18,female
16068,117,win,0,5,18,female
16068,118,win,0,2,18,female
16068,119,win,0,2,18,female
16068,120,win,1,10,18,female
16068,121,win,1,20,18,female
16068,122,win,1,20,18,female
16068,123,win,1,10,18,female
16068,124,win,1,10,18,female
16068,125,win,1,10,18,female
16068,126,win,0,5,18,female
19661,67,win,0,80,18,female
19661,68,win,0,40,18,female
19661,69,win,0,40,18,female
19661,70,win,1,1,18,female
19661,71,win,1,1,18,female
19661,72,win,1,2,18,female
19661,73,win,0,2,18,female
19661,74,win,0,5,18,female
19661,75,win,1,2,18,female
19661,76,win,1,5,18,female
19661,77,win,1,10,18,female
19661,78,win,0,5,18,female
19661,79,win,0,20,18,female
19661,80,win,0,20,18,female
19661,81,win,1,20,18,female
19661,82,win,1,5,18,female
19661,83,win,1,80,18,female
19661,84,win,0,2,18,female
19661,85,win,0,20,18,female
19661,86,win,1,2,18,female
19661,87,win,1,10,18,female
19661,88,win,1,2,18,female
19661,89,win,1,1,18,female
19661,90,win,1,80,18,female
19661,91,win,0,20,18,female
19661,92,win,0,2,18,female
19661,93,win,0,2,18,female
19661,94,win,1,1,18,female
19661,95,win,1,1,18,female
19661,96,win,1,5,18,female
19661,97,win,1,20,18,female
