PID,trial_no,choiceOld,delay,age,gender,outcome,choice
109,59,2,10,18,female,0,1
109,60,1,20,18,female,1,0
109,61,2,2,18,female,0,1
109,62,2,40,18,female,0,1
109,63,2,40,18,female,1,1
109,64,1,1,18,female,0,0
109,65,1,2,18,female,0,0
109,66,2,80,18,female,1,1
109,67,2,20,18,female,1,1
109,68,2,40,18,female,1,1
109,69,1,5,18,female,0,0
109,70,1,80,18,female,1,0
109,71,2,40,18,female,0,1
109,72,1,1,18,female,0,0
109,73,2,10,18,female,0,1
109,74,2,80,18,female,1,1
109,75,1,5,18,female,1,0
204,6,1,10,30,female,1,0
204,7,2,1,30,female,0,1
204,8,1,20,30,female,1,0
204,9,1,20,30,female,1,0
204,10,1,10,30,female,1,0
204,11,2,10,30,female,1,1
204,12,1,20,30,female,0,0
204,13,2,80,30,female,1,1
204,14,2,10,30,female,1,1
204,15,1,40,30,female,1,0
204,16,1,5,30,female,0,0
204,17,1,5,30,female,1,0
204,18,1,20,30,female,0,0
204,19,1,80,30,female,1,0
204,20,1,40,30,female,0,0
204,21,2,10,30,female,1,1
204,22,1,40,30,female,0,0
204,23,1,20,30,female,0,0
204,24,2,2,30,female,0,1
204,25,1,5,30,female,1,0
204,26,1,80,30,female,1,0
204,27,1,80,30,female,1,0
204,28,2,2,30,female,1,1
204,29,2,5,30,female,1,1
204,30,1,40,30,female,0,0
204,31,1,40,30,female,1,0
204,32,1,2,30,female,0,0
204,33,1,1,30,female,0,0
204,34,1,40,30,female,0,0
204,35,1,10,30,female,0,0
204,36,1,40,30,female,1,0
204,37,1,10,30,female,0,0
204,38,2,1,30,female,0,1
204,39,1,80,30,female,0,0
204,40,2,10,30,female,0,1
204,41,2,2,30,female,1,1
204,42,1,2,30,female,1,0
204,43,2,10,30,female,0,1
204,44,2,40,30,female,1,1
204,45,1,1,30,female,0,0
204,46,1,1,30,female,0,0
204,47,2,20,30,female,0,1
204,48,2,80,30,female,0,1
204,49,2,20,30,female,0,1
204,50,2,1,30,female,1,1
204,51,1,5,30,female,1,0
204,52,2,1,30,female,0,1
204,53,2,5,30,female,0,1
204,54,2,80,30,female,1,1
204,55,2,1,30,female,0,1
204,56,2,1,30,female,1,1
204,57,2,2,30,female,1,1
204,58,2,80,30,female,1,1
204,59,1,2,30,female,1,0
204,60,2,40,30,female,1,1
204,61,2,5,30,female,0,1
204,62,2,80,30,female,0,1
204,63,2,5,30,female,0,1
204,64,2,20,30,female,0,1
204,65,2,80,30,female,1,1
204,66,1,1,30,female,0,0
204,67,1,20,30,female,1,0
204,68,2,10,30,female,0,1
204,69,2,20,30,female,1,1
204,70,1,2,30,female,1,0
204,71,2,40,30,female,1,1
204,72,2,5,30,female,0,1
204,73,1,2,30,female,1,0
204,74,1,2,30,female,1,0
204,75,1,5,30,female,1,0
397,6,2,5,17,female,1,1
397,7,2,1,17,female,0,1
397,8,2,10,17,female,0,1
397,9,1,80,17,female,0,0
397,10,2,20,17,female,0,1
397,11,1,20,17,female,0,0
397,12,2,80,17,female,0,1
397,13,1,40,17,female,0,0
397,14,2,5,17,female,1,1
397,15,2,20,17,female,1,1
397,16,1,10,17,female,0,0
397,17,2,20,17,female,1,1
397,18,1,1,17,female,1,0
397,19,1,5,17,female,1,0
397,20,2,1,17,female,1,1
397,21,1,20,17,female,1,0
397,22,2,2,17,female,0,1
397,23,2,2,17,female,1,1
397,24,2,40,17,female,0,1
397,25,1,40,17,female,1,0
397,26,2,20,17,female,0,1
397,27,1,2,17,female,0,0
397,28,1,40,17,female,0,0
397,29,2,40,17,female,0,1
397,30,1,5,17,female,0,0
397,31,2,80,17,female,1,1
397,32,2,5,17,female,1,1
397,33,1,2,17,female,0,0
397,34,1,2,17,female,0,0
397,35,2,10,17,female,1,1
397,36,2,80,17,female,0,1
397,37,1,1,17,female,1,0
397,38,2,1,17,female,0,1
397,39,2,10,17,female,1,1
397,40,2,5,17,female,1,1
397,41,2,2,17,female,0,1
397,42,2,10,17,female,0,1
397,43,2,80,17,female,1,1
397,44,1,1,17,female,1,0
397,45,2,5,17,female,0,1
397,46,2,5,17,female,1,1
397,47,2,10,17,female,1,1
397,48,1,1,17,female,1,0
397,49,2,40,17,female,1,1
397,50,1,2,17,female,0,0
397,51,2,80,17,female,0,1
397,52,2,10,17,female,0,1
397,53,2,40,17,female,1,1
397,54,2,40,17,female,0,1
397,55,2,5,17,female,1,1
397,56,1,20,17,female,1,0
397,57,2,2,17,female,0,1
397,58,2,1,17,female,0,1
397,59,2,10,17,female,0,1
397,60,1,2,17,female,1,0
397,61,2,40,17,female,1,1
397,62,2,2,17,female,1,1
397,63,1,1,17,female,1,0
397,64,1,20,17,female,1,0
397,65,2,40,17,female,1,1
397,66,2,20,17,female,1,1
397,67,2,20,17,female,0,1
397,68,1,1,17,female,0,0
397,69,2,10,17,female,0,1
397,70,1,5,17,female,1,0
397,71,2,80,17,female,0,1
397,72,2,80,17,female,0,1
