PID,trial_no,trial_type,choice,delay,age,gender
3731,28,loss,0,2,22,male
3731,29,loss,0,2,22,male
3731,40,loss,1,2,22,male
3731,45,loss,1,2,22,male
3731,62,loss,1,2,22,male
3731,66,loss,1,2,22,male
3731,10,loss,1,5,22,male
3731,13,loss,1,5,22,male
3731,18,loss,1,5,22,male
3731,20,loss,1,5,22,male
3731,21,loss,0,5,22,male
3731,35,loss,1,5,22,male
3731,37,loss,1,5,22,male
3731,48,loss,1,5,22,male
3731,51,loss,1,5,22,male
3731,59,loss,1,5,22,male
3731,9,loss,0,10,22,male
3731,11,loss,0,10,22,male
3731,16,loss,0,10,22,male
3731,24,loss,0,10,22,male
3731,26,loss,0,10,22,male
3731,30,loss,0,10,22,male
3731,46,loss,0,10,22,male
3731,52,loss,0,10,22,male
3731,63,loss,0,10,22,male
3731,64,loss,0,10,22,male
3731,27,loss,0,20,22,male
3731,31,loss,0,20,22,male
3731,33,loss,0,20,22,male
3731,34,loss,1,20,22,male
3731,38,loss,0,20,22,male
3731,43,loss,0,20,22,male
3731,47,loss,0,20,22,male
3731,53,loss,0,20,22,male
3731,61,loss,0,20,22,male
3731,65,loss,0,20,22,male
3731,14,loss,0,40,22,male
3731,22,loss,1,40,22,male
3731,32,loss,1,40,22,male
3731,36,loss,0,40,22,male
3731,42,loss,0,40,22,male
3731,12,loss,1,80,22,male
3731,17,loss,0,80,22,male
3731,50,loss,0,80,22,male
3731,56,loss,0,80,22,male
3731,58,loss,0,80,22,male
4118,7,loss,1,1,26,male
4118,8,loss,1,80,26,male
4118,9,loss,1,40,26,male
4118,10,loss,0,10,26,male
4118,11,loss,0,5,26,male
4118,12,loss,1,2,26,male
4118,13,loss,0,20,26,male
4118,14,loss,1,5,26,male
4118,15,loss,1,1,26,male
4118,16,loss,1,80,26,male
4118,17,loss,1,10,26,male
4118,18,loss,1,10,26,male
4118,19,loss,1,20,26,male
4118,20,loss,1,2,26,male
4118,21,loss,1,40,26,male
4118,22,loss,1,80,26,male
4118,23,loss,1,1,26,male
4118,24,loss,0,5,26,male
4118,25,loss,0,20,26,male
4118,26,loss,1,5,26,male
4118,27,loss,0,10,26,male
4118,28,loss,1,40,26,male
4118,29,loss,0,2,26,male
4118,30,loss,0,1,26,male
4118,31,loss,1,1,26,male
4118,32,loss,1,5,26,male
4118,33,loss,0,1,26,male
4118,34,loss,1,5,26,male
4118,35,loss,1,2,26,male
4118,36,loss,1,1,26,male
4118,37,loss,1,5,26,male
4118,38,loss,1,80,26,male
4118,39,loss,1,20,26,male
4118,40,loss,1,40,26,male
4118,41,loss,1,10,26,male
4118,42,loss,1,20,26,male
4118,43,loss,0,5,26,male
4118,44,loss,1,10,26,male
4118,45,loss,0,2,26,male
4118,46,loss,1,5,26,male
4118,47,loss,1,10,26,male
4118,48,loss,1,2,26,male
4118,49,loss,1,20,26,male
4118,50,loss,1,20,26,male
